TABLE_SCHEMA,TABLE_NAME,n_date_typed,n_money_typed,n_recovery_named,n_claim_named,n_cols,date_cols,money_cols
dbo,vwEvernorthClaimRemit_HospEsrd,6,0,8,1,39,"FirstDateOfService, LastDateOfService, RebillDate, RebillRefDate, RecoveryPostedDate, GrsRecoveryToDate, RecoveryOriginalDate","ChargeAmount, AdjustedChargeAmount, BenefitAmount, AdjustedBenefitAmount, RecoveryPostedDate, RecoveryType, RecoveryReason, GrsRecoveryToDate, RecoveryAmount, FeeAmount, ClientAmount, AdjustedAmount, AdjustedFeeAmount, AdjustedClientAmount, RecoveryReceivedby, RecoveryAdjustedby, RecoveryOriginalDate"
dbo,vwEvernorthClaimRemit_MSP,6,0,8,1,39,"FirstDateOfService, LastDateOfService, RebillDate, RebillRefDate, RecoveryPostedDate, GrsRecoveryToDate, RecoveryOriginalDate","ChargeAmount, AdjustedChargeAmount, BenefitAmount, AdjustedBenefitAmount, RecoveryPostedDate, RecoveryType, RecoveryReason, GrsRecoveryToDate, RecoveryAmount, FeeAmount, ClientAmount, AdjustedAmount, AdjustedFeeAmount, AdjustedClientAmount, RecoveryReceivedby, RecoveryAdjustedby, RecoveryOriginalDate"
dbo,EvernorthClaimRemit_history,5,6,7,3,34,"SERVICED_DTE, REBILL_DTE, REQUEST_DTE, RECOVERY_DTE, ReportDate","CHARGE_AMT, PAID_AMT, RECOVERY_DTE, RECOVERY_TYPE_CDE, RECOVERY_REASON_CDE, RECOVERY_TO_DTE_AMT, GROSS_RECOVERY_AMT, SERVICE_FEE_AMT, NET_REFUND_AMT, RECOVERY_RECEIVED_BY"
dbo,EvernorthClaimRemit,4,6,7,3,33,"SERVICED_DTE, REBILL_DTE, REQUEST_DTE, RECOVERY_DTE","CHARGE_AMT, PAID_AMT, RECOVERY_DTE, RECOVERY_TYPE_CDE, RECOVERY_REASON_CDE, RECOVERY_TO_DTE_AMT, GROSS_RECOVERY_AMT, SERVICE_FEE_AMT, NET_REFUND_AMT, RECOVERY_RECEIVED_BY"
dbo,EvernorthClaimResponse_HospEsrd_HISTORY_OffCycle,2,1,7,2,38,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate, LoadDateTime","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_HospEsrd_Backup,0,1,7,2,35,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_MSP_Backup,1,1,7,2,37,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_HospEsrd,0,1,7,2,35,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_MSP,1,1,7,2,37,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_MSP_History_OffCycle,3,1,7,2,40,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate, LoadDateTime","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_MSP_HISTORY,1,1,7,2,38,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_HospEsrd_HISTORY,1,1,7,2,36,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_HospEsrd_recent,0,0,7,2,36,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponseTracking_HospEsrd,2,0,7,2,35,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
dbo,EvernorthClaimResponse_msp_recent,0,0,7,2,38,"DateOfBirth, DateOfService, OtherPayerDate, OtherPayerCheckDate, ReportDate","OtherPayerAmountPaid, OtherPayerCheckDate, OtherPayerCheckNumber, RecoveryIdentifier, RecoveryType, RecoveryPlanYear, RecoveryAmount, AdjustmentRecoveryCode"
concept,CenteneFidelisAnomaliesExport,62,40,6,37,476,"SubscriberDOB, PatientDOB, PatientEffectiveDate, PatientCancelDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, AdjudicationDate, PayDate, MedicareAEffDate, MedicareBEffDate, PROCDATE1, PROCDATE2, PROCDATE3, PROCDATE4, PROCDATE5, PROCDATE6, PROCDATE7, PROCDATE8, PROCDATE9, PROCDATE10, PROCDATE11, PROCDATE12, PROCDATE13, PROCDATE14, PROCDATE15, PROCDATE16, PROCDATE17, PROCDATE18, PROCDATE19, PROCDATE20, PROCDATE21, PROCDATE22, PROCDATE23, PROCDATE24, PROCDATE25, OCCURANCEDATE1, OCCURANCEDATE2, OCCURANCEDATE3, OCCURANCEDATE4, OCCURANCEDATE5, OCCURANCEDATE6, OCCURANCEDATE7, OCCURANCEDATE8, OtherInsuranceEffDate, OtherInsuranceEndDate, OtherInsuranceSubscriberDOB, AdmissionDate, DischargeDate, ReceivedDate, ALTCARRIERPOLICYEFFDATE, ALTCARRIERPOLICYENDDATE, LineStartDate, LineEndDate, Member DOB, Policy DOB, Alt Carrier Effective Date, Alt Carrier End Date, Date Last Verified, FirstTimePaidDate","TotalBilledAmount, TotalPaidAmount, BillAmount, AllowedAmount, PayAmount, DeductibleAmount, CopaymentAmount, CoinsuranceAmount, DiscountAmount, NonCoveredAmount, COBAmount, COBAllowedAmount, COBSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, VALUEAMOUNT1, VALUEAMOUNT2, VALUEAMOUNT3, VALUEAMOUNT4, VALUEAMOUNT5, VALUEAMOUNT6, VALUEAMOUNT7, VALUEAMOUNT8, VALUEAMOUNT9, VALUEAMOUNT10, VALUEAMOUNT11, VALUEAMOUNT12, VALUEAMOUNT13, VALUEAMOUNT14, VALUEAMOUNT15, VALUEAMOUNT16, VALUEAMOUNT17, VALUEAMOUNT18, VALUEAMOUNT19, VALUEAMOUNT20, VALUEAMOUNT21, VALUEAMOUNT22, VALUEAMOUNT23, VALUEAMOUNT24, ReceivedDate, CheckNumber, TPPAmount, TPPApplyAmount, RecoveryFlag, ALTCARRIERAMTCOINS, ALTCARRIERAMTCOPAY, ALTCARRIERAMTDEDUCT, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount, FirstTimePaidDate"
concept,CenteneFidelisAnomaliesReferenceClaimsExport,61,40,6,37,474,"SubscriberDOB, PatientDOB, PatientEffectiveDate, PatientCancelDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, AdjudicationDate, PayDate, MedicareAEffDate, MedicareBEffDate, PROCDATE1, PROCDATE2, PROCDATE3, PROCDATE4, PROCDATE5, PROCDATE6, PROCDATE7, PROCDATE8, PROCDATE9, PROCDATE10, PROCDATE11, PROCDATE12, PROCDATE13, PROCDATE14, PROCDATE15, PROCDATE16, PROCDATE17, PROCDATE18, PROCDATE19, PROCDATE20, PROCDATE21, PROCDATE22, PROCDATE23, PROCDATE24, PROCDATE25, OCCURANCEDATE1, OCCURANCEDATE2, OCCURANCEDATE3, OCCURANCEDATE4, OCCURANCEDATE5, OCCURANCEDATE6, OCCURANCEDATE7, OCCURANCEDATE8, OtherInsuranceEffDate, OtherInsuranceEndDate, OtherInsuranceSubscriberDOB, AdmissionDate, DischargeDate, ReceivedDate, ALTCARRIERPOLICYEFFDATE, ALTCARRIERPOLICYENDDATE, LineStartDate, LineEndDate, Member DOB, Policy DOB, Alt Carrier Effective Date, Alt Carrier End Date, Date Last Verified","TotalBilledAmount, TotalPaidAmount, BillAmount, AllowedAmount, PayAmount, DeductibleAmount, CopaymentAmount, CoinsuranceAmount, DiscountAmount, NonCoveredAmount, COBAmount, COBAllowedAmount, COBSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, VALUEAMOUNT1, VALUEAMOUNT2, VALUEAMOUNT3, VALUEAMOUNT4, VALUEAMOUNT5, VALUEAMOUNT6, VALUEAMOUNT7, VALUEAMOUNT8, VALUEAMOUNT9, VALUEAMOUNT10, VALUEAMOUNT11, VALUEAMOUNT12, VALUEAMOUNT13, VALUEAMOUNT14, VALUEAMOUNT15, VALUEAMOUNT16, VALUEAMOUNT17, VALUEAMOUNT18, VALUEAMOUNT19, VALUEAMOUNT20, VALUEAMOUNT21, VALUEAMOUNT22, VALUEAMOUNT23, VALUEAMOUNT24, ReceivedDate, CheckNumber, TPPAmount, TPPApplyAmount, RecoveryFlag, ALTCARRIERAMTCOINS, ALTCARRIERAMTCOPAY, ALTCARRIERAMTDEDUCT, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount"
concept,CenteneNewStatesAnomaliesExport,33,44,5,13,382,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, OccuranceDate_01, OccuranceDate_02, OccuranceDate_03, OccuranceDate_04, OccuranceDate_05, OccuranceDate_06, OccuranceDate_07, OccuranceDate_08, PROC1_DATE, PROC2_DATE, PROC3_DATE, PROC4_DATE, PROC5_DATE, PROC6_DATE, PROC7_DATE, PROC8_DATE, PROC9_DATE, PROC10_DATE, ALTCARRIER_POLICY_EFF_DATE, ALTCARRIER_POLICY_END_DATE","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, TPP_Amount, TPP_Allow_Amount, Recovery_Flag, ValueAmount_01, ValueAmount_02, ValueAmount_03, ValueAmount_04, ValueAmount_05, ValueAmount_06, ValueAmount_07, ValueAmount_08, ValueAmount_09, ValueAmount_10, ValueAmount_11, ValueAmount_12, ValueAmount_13, ValueAmount_14, ValueAmount_15, ValueAmount_16, ValueAmount_17, ValueAmount_18, ValueAmount_19, ValueAmount_20, ValueAmount_21, ValueAmount_22, ValueAmount_23, ValueAmount_24, ALTCARRIER_AMT_COINS, ALTCARRIER_AMT_COPAY, ALTCARRIER_AMT_DEDUCT, BANK_CHECK_NBR, CoPaymentAmount, CoInsuranceAmount, DeductibleAmount, COBAllowedAmount, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount"
concept,CenteneAnomaliesExport,34,44,5,13,394,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, OccuranceDate_01, OccuranceDate_02, OccuranceDate_03, OccuranceDate_04, OccuranceDate_05, OccuranceDate_06, OccuranceDate_07, OccuranceDate_08, PROC1_DATE, PROC2_DATE, PROC3_DATE, PROC4_DATE, PROC5_DATE, PROC6_DATE, PROC7_DATE, PROC8_DATE, PROC9_DATE, PROC10_DATE, ALTCARRIER_POLICY_EFF_DATE, ALTCARRIER_POLICY_END_DATE, FirstTimePaidDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, TPP_Amount, TPP_Allow_Amount, Recovery_Flag, ValueAmount_01, ValueAmount_02, ValueAmount_03, ValueAmount_04, ValueAmount_05, ValueAmount_06, ValueAmount_07, ValueAmount_08, ValueAmount_09, ValueAmount_10, ValueAmount_11, ValueAmount_12, ValueAmount_13, ValueAmount_14, ValueAmount_15, ValueAmount_16, ValueAmount_17, ValueAmount_18, ValueAmount_19, ValueAmount_20, ValueAmount_21, ValueAmount_22, ValueAmount_23, ValueAmount_24, ALTCARRIER_AMT_COINS, ALTCARRIER_AMT_COPAY, ALTCARRIER_AMT_DEDUCT, BANK_CHECK_NBR, CoPaymentAmount, CoInsuranceAmount, DeductibleAmount, COBAllowedAmount, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount, FirstTimePaidDate"
concept,CenteneAnomaliesReferenceClaimsExport,34,44,5,13,394,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, OccuranceDate_01, OccuranceDate_02, OccuranceDate_03, OccuranceDate_04, OccuranceDate_05, OccuranceDate_06, OccuranceDate_07, OccuranceDate_08, PROC1_DATE, PROC2_DATE, PROC3_DATE, PROC4_DATE, PROC5_DATE, PROC6_DATE, PROC7_DATE, PROC8_DATE, PROC9_DATE, PROC10_DATE, ALTCARRIER_POLICY_EFF_DATE, ALTCARRIER_POLICY_END_DATE, FirstTimePaidDate","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, TPP_Amount, TPP_Allow_Amount, Recovery_Flag, ValueAmount_01, ValueAmount_02, ValueAmount_03, ValueAmount_04, ValueAmount_05, ValueAmount_06, ValueAmount_07, ValueAmount_08, ValueAmount_09, ValueAmount_10, ValueAmount_11, ValueAmount_12, ValueAmount_13, ValueAmount_14, ValueAmount_15, ValueAmount_16, ValueAmount_17, ValueAmount_18, ValueAmount_19, ValueAmount_20, ValueAmount_21, ValueAmount_22, ValueAmount_23, ValueAmount_24, ALTCARRIER_AMT_COINS, ALTCARRIER_AMT_COPAY, ALTCARRIER_AMT_DEDUCT, BANK_CHECK_NBR, CoPaymentAmount, CoInsuranceAmount, DeductibleAmount, COBAllowedAmount, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount, FirstTimePaidDate"
concept,CenteneNewStatesAnomaliesReferenceClaimsExport,33,44,5,13,382,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, OccuranceDate_01, OccuranceDate_02, OccuranceDate_03, OccuranceDate_04, OccuranceDate_05, OccuranceDate_06, OccuranceDate_07, OccuranceDate_08, PROC1_DATE, PROC2_DATE, PROC3_DATE, PROC4_DATE, PROC5_DATE, PROC6_DATE, PROC7_DATE, PROC8_DATE, PROC9_DATE, PROC10_DATE, ALTCARRIER_POLICY_EFF_DATE, ALTCARRIER_POLICY_END_DATE","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, TPP_Amount, TPP_Allow_Amount, Recovery_Flag, ValueAmount_01, ValueAmount_02, ValueAmount_03, ValueAmount_04, ValueAmount_05, ValueAmount_06, ValueAmount_07, ValueAmount_08, ValueAmount_09, ValueAmount_10, ValueAmount_11, ValueAmount_12, ValueAmount_13, ValueAmount_14, ValueAmount_15, ValueAmount_16, ValueAmount_17, ValueAmount_18, ValueAmount_19, ValueAmount_20, ValueAmount_21, ValueAmount_22, ValueAmount_23, ValueAmount_24, ALTCARRIER_AMT_COINS, ALTCARRIER_AMT_COPAY, ALTCARRIER_AMT_DEDUCT, BANK_CHECK_NBR, CoPaymentAmount, CoInsuranceAmount, DeductibleAmount, COBAllowedAmount, TPLiab_MedicareAllowedAmount, TPLiab_MedicarePaidAmount, TPLiab_PrimaryInsurerAllowedAmount, TPLiab_PrimaryInsurerPaidAmount"
dbo,EvernorthClaimResponse_ClientResponse_Staging_COB,0,0,5,2,34,"Review Date, IV_Date Processed, WR_Run Date, IV_Date Dispensed","remittance id, WR_Adjustment Recovery Code, WR_Recovery Type Code, WR_Recovery Amount, IV_Amount Recovered"
dbo,BCBSNCMiningCache2,14,8,4,7,196,"PatientCancelDate, PatientDOB, PatientEffectiveDate, GroupEffectiveDate, GroupTermDate, ProviderEffectiveDate, ProviderTermDate, InjuryDate, StartDate, EndDate, PayDate, MedicareAEffDate, MedicareBEffDate, SubscriberDateOfBirth, ReceivedDate, OIEffDate, OITermDate, SubscriberEffDate, SubscriberTermDate, DateofAccident","BillAmount, PayAmount, TotalBilledAmount, TotalPaidAmount, CobAmount, CobSavingsAmount, OverpaymentReceivedAmount, OverpaymentReceivedIndicator, ReceivedDate, DedAmt, CopayAmt, CoinsAmt, CheckNumber, AllowedAmt, PreviousCOBAmt"
dbo,TargetedToCEM_RxP_Claims,9,14,4,6,92,"TRC_MATCH_DATE, TRC_CLAIM_STATUS_DATE, DateFilled, PrescriptionDate, SubDOB, PatientDOB, CheckDate, DispositionUpdateDate, QCStatusUpdateDate","NetCheckAmount, CheckDate, CheckNo, RecoveryAmount, PatientPaidAmount, PlanPaidAmount, InvoicingAmount"
dbo,UnitedRxPFMTPassFile,5,3,4,4,23,"DATE_OF_SERVICE, ORIGINAL_BILLING_DATE, FINAL_BILLING_DATE, FINAL_RESPONSE_PROCESSED_DATETIME, RECOVERED_DATE","UHC_PAID_AMOUNT, RECOVERED_DATE, TOTAL_RECOVERED_AMOUNT, AMOUNT_RECOVERED_REPORTING, RECOVERY_REVERSAL_FLAG"
dbo,UnitedPassFile_UHGMR_passfile_20260706,5,3,4,4,23,"DATE_OF_SERVICE, ORIGINAL_BILLING_DATE, FINAL_BILLING_DATE, FINAL_RESPONSE_PROCESSED_DATETIME, RECOVERED_DATE","UHC_PAID_AMOUNT, RECOVERED_DATE, TOTAL_RECOVERED_AMOUNT, AMOUNT_RECOVERED_REPORTING, RECOVERY_REVERSAL_FLAG"
dbo,UnitedPassFile_UHGMR_passfile_20260610,5,3,4,4,23,"DATE_OF_SERVICE, ORIGINAL_BILLING_DATE, FINAL_BILLING_DATE, FINAL_RESPONSE_PROCESSED_DATETIME, RECOVERED_DATE","UHC_PAID_AMOUNT, RECOVERED_DATE, TOTAL_RECOVERED_AMOUNT, AMOUNT_RECOVERED_REPORTING, RECOVERY_REVERSAL_FLAG"
dbo,UnitedPassFile_UHGMR_passfile_20260715,5,3,4,4,23,"DATE_OF_SERVICE, ORIGINAL_BILLING_DATE, FINAL_BILLING_DATE, FINAL_RESPONSE_PROCESSED_DATETIME, RECOVERED_DATE","UHC_PAID_AMOUNT, RECOVERED_DATE, TOTAL_RECOVERED_AMOUNT, AMOUNT_RECOVERED_REPORTING, RECOVERY_REVERSAL_FLAG"
dbo,passfile_staging,5,3,4,4,23,"DATE_OF_SERVICE, ORIGINAL_BILLING_DATE, FINAL_BILLING_DATE, FINAL_RESPONSE_PROCESSED_DATETIME, RECOVERED_DATE","UHC_PAID_AMOUNT, RECOVERED_DATE, TOTAL_RECOVERED_AMOUNT, AMOUNT_RECOVERED_REPORTING, RECOVERY_REVERSAL_FLAG"
dbo,EvernorthClaimResponse_ClientResponse,5,2,4,3,29,"ReviewDate, InvoiceDate, IV_DateProcessed, WR_RunDate, IV_DateDispensed, LoadDateTime","WR_AdjustmentRecoveryCode, WR_RecoveryTypeCode, WR_RecoveryAmount, IV_AmountRecovered"
dbo,EvernorthClaimResponse_ClientResponse_Staging,0,0,4,3,33,"claim reversed date, inv create date, file conclude date, Review Date, IV_Date Processed, WR_Run Date, IV_Date Dispensed","WR_Adjustment Recovery Code, WR_Recovery Type Code, WR_Recovery Amount, IV_Amount Recovered"
dbo,DirectsOscar_Step2,8,38,3,12,135,"FirstDOC, SSDateFilled, DateFilled, DateWritten, DateAdjudicated, DatePaid, CheckDate, PatientDOB","SSPaidAmt, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, GrossAmountDue, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, NetCheckAmount, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, LowIncomeSubsidyAmount, DatePaid, CheckDate, CheckNumber, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3"
dbo,DirectsOscar_Step3,8,38,3,12,135,"FirstDOC, SSDateFilled, DateFilled, DateWritten, DateAdjudicated, DatePaid, CheckDate, PatientDOB","SSPaidAmt, IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, GrossAmountDue, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, NetCheckAmount, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, LowIncomeSubsidyAmount, DatePaid, CheckDate, CheckNumber, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3"
dbo,DirectsCentene_Step3,9,40,3,11,146,"PatientDOB, DateFilled, DateWritten, DateAdjudicated, DatePaid, CheckDate, BirthDate, FirstDOC, SSDateFilled","IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, GrossAmountDue, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, NetCheckAmount, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, LowIncomeSubsidyAmount, DatePaid, CheckDate, CheckNumber, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, AmountBilled, SSPaidAmt"
dbo,DirectsCentene_Step2,9,40,3,11,146,"PatientDOB, DateFilled, DateWritten, DateAdjudicated, DatePaid, CheckDate, BirthDate, FirstDOC, SSDateFilled","IncentiveAmountSubmitted, FlatSalesTaxAmountSubmitted, PercentageSalesTaxAmountSubmitted, OtherAmountClaimedSubmittedQualifier1, OtherAmountClaimedSubmitted1, OtherAmountClaimedSubmittedQualifier2, OtherAmountClaimedSubmitted2, OtherAmountClaimedSubmittedQualifier3, OtherAmountClaimedSubmitted3, GrossAmountDue, PatientPayAmount, IngredientCostPaid, DispensingFeePaid, FlatSalesTaxAmountPaid, PercentageSalesTaxAmountPaid, IncentiveAmountPaid, ProfessionalServiceFeePaid, OtherPayerAmountRecognized, TotalAmountPaid, NetCheckAmount, AmountAppliedToPeriodicDeductible, AmountAttributedToCoverageGap, AmountAttributedToProcessorFee, AmountAttributedToProductSelection, AmountAttributedToProductSelectionBrandDrug, AmountAttributedToProductSelectionBrandNonPreferredFormularySelection, AmountAttributedToProductSelectionNonPreferredFormularySelection, AmountAttributedToProviderNetworkSelection, AmountAttributedToSalesTax, AmountExceedingPeriodicBenefitMaximum, AmountOfCopay, AmountOfCoinsurance, LowIncomeSubsidyAmount, DatePaid, CheckDate, CheckNumber, OtherAmountPaid1, OtherAmountPaidQualifier1, OtherAmountPaid2, OtherAmountPaidQualifier2, OtherAmountPaid3, OtherAmountPaidQualifier3, AmountBilled, SSPaidAmt"
